Rent Price,Address,Location,Number of Bed,Number of Bath,Living Area (ft^2),Land Area (ft^2)
413 400,"1616, rue Claude-Charpentier",Chambly,3,1+2,1797,7450
850 000,"8386-8388-8384, rue Saint-André",Villeray / St-Michel / Parc-Extension,5,3,1797,3750
279 000,"251, rue des Rouleaux",Charlemagne,5,2,891,4500
109 000,"100, chemin du Barrage",Val-Des-Monts (Perkins),5,2,891,89943
429 000,"2885, rue Dollard",Duvernay,4,1+1,1040,5701
399 000,"466, avenue Sainte-Thérèse",Beauport,4,3,3000,10000
262 900,"1318, rue Élisabeth-Begon",Lévis,2,1+1,836,3627
297 000,"1720, grand rang Saint-Pierre",Ste-Élisabeth,3,1+1,2015,53800
210 000,"674, rue des Prés",St-Lin-Laurentides,3,2,1000,6564
449 000,"8080, rue Fernando-Pessoa",Ste-Dorothée,3,2+1,1632,3787
350 000,"949, rue Gerbault",Fabreville,3,1+1,1189,14875
676 000,"20, rue de Joigny",Blainville,4,2+1,2376,8138
298 000,313-317 rue Calixa-Lavallée,Joliette,3,1,2376,10520
629 000,"24, rue de Josselin",Blainville,5,3+1,2700,8860
185 000,"3481, Marcelle-Ferron",Shawinigan (Grand-Mère),2,2,1170,12700
459 000,"353, rue Dany",Fabreville,5,2+1,1480,4499
145 000,"106, route 230 Ouest",Riviere-Ouelle,3,1,1011,20886
263 500,"18, rue des Peupliers",ND-Des-Prairies,3,2,1015,6300
139 900,"2555, rang Saint-Gabriel Nord",Ste-Marie,3,2,1015,26182
395 000,"16, rue Albert-Legault",Chateauguay,3,1+1,1522,4760
298 000,"6453, rue de Michigan",Longueuil (St-Hubert),3,1+1,821,3993
448 000,"1728, rue de Miranda",Vimont,3,2,1048,4186
469 000,"64, rue du Manoir",Pointe-des-Cascades,3,1+1,1764,5000
289 900,"393, rue Roberta-Unwin",Gatineau (Aylmer),3,1+1,1205,4541
259 000,"282, rue Mailloux",Granby,5,3,1205,6756
435 500,Le Gardenville - Unité 2-109,Longueuil (Vieux-Longueuil),2,2,1300,18000
515 000,"426, rue du Brome",St-Augustin-De-Desmaures,3,1+1,1640,14877
309 000,"53, rue des Flandres",Gatineau (Gatineau),3,2,1000,7500
307 500,"8377, rue des Jouvenceaux",Neufchatel,3,2+1,1440,2487
274 900,"927, rue Laforest",Fabreville,3,1+1,1156,3393
200 000,"231, rue des Bosquets",St-Benjamin,5,2,1125,46000
270 500,"671, rue Villebon",Sherbrooke (Rock Forest),4,2+1,1472,6984
263 500,"7, rue de Matane",Bromont,3,1+1,1344,6720
329 000,"337, chemin des Sorbiers",Piedmont,2,1+1,1500,2159
350 000,"1720, rue Simard",Sherbrooke (Jacques-Cartier),3,2+2,1560,12034
349 995,"1042, impasse Picasso",Boisbriand,3,2,1560,7091
329 000,"43, chemin des Crêtes",Lac-Beauport,3,2,1984,20000
213 900,rue Saindon,St-Étienne-De-Lauzon,3,1+1,1496,3000
210 000,"386, rue François-Raymond",Rimouski (Rimouski),3,2,888,4994
288 000,"18, boulevard de la Bonaventure",Victoriaville,3,2+1,1712,9189
264 000,"113, rue des Bourdaines",St-Étienne-De-Lauzon,3,1+1,1350,3500
759 000,"301, boulevard Seigneurial Est",St-Bruno-De-Montarville,4,2+1,1892,15803
389 000,"620, rue du Roselin",Drummondville (St-Charles-De-Drummond),3,1+1,2176,75000
386 000,1587-7 rue du Perche,Chicoutimi (Chicoutimi),3,2+1,2176,10502
239 000,"40, rue Leblanc",Victoriaville,3,2,1382,6010
140 500,"609, rue Coombs",Sherbrooke (Rock Forest),3,1+1,1022,1820
319 999,"430, rue Samuel-de-Champlain",Ste-Julie,3,2+1,900,6460
360 000,"3021, rue des Anémones",Marieville,3,2,1140,52137
320 000,"1185, rue Moisan",Longueuil (St-Hubert),4,1+1,1320,3500
789 000,"661, avenue Missisquoi",Venise-En-Quebec,4,3+1,2032,20000
595 000,"2079, route du Président-Kennedy",St-Isidore,5,3+1,2032,15726
285 900,"39, rue Aubé",Sept-Iles,5,3,1571,5670
92 800,"150 A, rue Sainte-Geneviève",St-Isidore,5,3,1571,6143
304 000,"66, 20e Avenue",Ste-Marthe-Sur-Le-Lac,5,2,1053,6500
685 000,"1533, avenue Lecocq",Ahuntsic / Cartierville,6,3,1053,4520
190 000,"7134, rue Bernard-Piché",Trois-Rivières (Trois-Rivières),4,2,998,4262
334 000,"1679, rue des Épinettes-Rouges",Lac-St-Charles,3,2,1025,25640
192 500,"353, 7e Rang Est",Wickham,4,1,2100,28000
186 000,"9, chemin du Coteau-de-Trèfle Sud",St-Jean-sur-Richelieu (St-Luc),3,1,1069,18000
88 000,"1851, rang Elmire",St-Paul-D'Abbotsford,3,1,1069,36769
58 000,", chemin Cambria",Gore,3,1,1069,183253
589 900,"7026, rue du Brisebois",Lebourgneuf,5,2+1,2417,6711
309 900,"70, rue Potvin",Val-Des-Monts,4,2,1800,50446
188 000,"661, rue Baron",St-Elzéar-de-Beauce,3,2,818,4589
685 000,9915-9917 rue de Martigny,Ahuntsic / Cartierville,5,3,818,4250
249 000,"980, chemin Saint-Pierre",St-Ambroise-De-Kildare,3,1,818,93945
239 000,"352, rue de Longueuil",Longueuil (Vieux-Longueuil),2,1,810,300
759 000,"286, avenue Hickory",Pointe-Claire,3,2+1,1913,5920
139 900,"241, rang Kempt",Mont-St-Gregoire,2,1,900,15000
230 000,"62, rue de la Terrasse-Orléans",Beauport,4,1,1000,6270
249 900,"837, rue Primeau",St-Eustache,3,1+1,1085,2947
249 000,"1214, rue de l'Aulneuse",St-Nicolas,4,1+1,1248,4064
314 000,"2482, rue de l'Ivoire",Sherbrooke (Rock Forest),5,2+1,1800,13400
625 000,7334-7336 13e avenue,Villeray / St-Michel / Parc-Extension,3,1+1,620,4667
99 000,"20, rue Augusta",Morin-Heights,3,1+1,620,28070
97 500,"180, boulevard de Quen",Alma,2,1,1150,5750
265 000,"1190, rue Saint-Paul",L'Ancienne-Lorette,4,2,1092,8159
799 000,"13487, rue Huntington",Pierrefonds / Roxboro,5,3+1,3229,12916
265 000,"165, rue Hélène",St-Eustache,4,2,1040,6069
230 000,"1412, rue Hemingway",Chicoutimi (Chicoutimi),3,2,1040,6500
94 500,"3430, rue Bel-Air",Sherbrooke (Jacques-Cartier),3,2,1040,7265
347 500,"40, rue du Bruant",Gatineau (Hull),3,1+1,1608,4100
349 000,"865, rue d'Ottawa",Ste-Foy,5,1+2,1500,7240
309 000,"3120, rue Alfred-Pellan",Terrebonne (Terrebonne),4,2,1088,5000
673 500,"4940, rue Pharand - Modele Amalfi - Vëe Le Projet - Par Groupe Mathieu",Auteuil,3,2+1,1866,7716
464 700,"17005, rue de la Natation",Mirabel (Domaine-Vert Sud),3,2+1,1891,5545
318 000,"146, rue des Géodes",Boischatel,3,2,1440,6600
225 000,"3769, rue des Sources",Ste-Catherine,2,1+1,1008,224
184 500,"340, rue Saint-Maurice",Proulxville,3,2,1098,12830
1 200 000,5272-5274-5276 rue Saint-Urbain,Le Plateau-Mont-Royal,11,3,1098,2500
196 900,"4221, avenue du tour du Lac",Shawinigan (Lac-A-La-Tortue),3,1+1,1500,21603
420 000,"513, rue Bourget",Vaudreuil-Dorion,3,2,803,5236
164 000,"1475, boulevard Malcolm-Fraser",La Malbaie,3,1+1,1151,16362
448 900,"126, rue de Vaucluse",Pont-Viau,4,2,1414,6591
