Price,Description,Address,# Bath,# Bed,# Water Room,Note,ULS,Link
349 000, Maison à étages à vendre,8160 Rue du Larmier Neufchâtel-Est/Lebourgneuf,3,7,0,Nouveauté sur le marché,10350178,https://www.remax-quebec.com//fr/maison-a-vendre-region-de-quebec/8160-rue-du-larmier-neufchatel-10350178.rmx
378 000, Maison de plain-pied à vendre,2143 Rue Goyer Chomedey (Laval),2,3,0,Nouveauté sur le marché,11045520,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/2143-rue-goyer-chomedey-11045520.rmx
219 000, Maison de plain-pied à vendre,227 22e Avenue Saint-Zotique,2,3,0,Nouveauté sur le marché,11313872,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/227-22e-avenue-st-zotique-11313872.rmx
232 900, Maison de plain-pied à vendre,144 Rue Morin Châteauguay,2,2,0,Nouveauté sur le marché,12067354,https://www.remax-quebec.com//fr/maison-a-vendre-rive-sud-de-montreal/144-rue-morin-chateauguay-12067354.rmx
237 000, Appartement à vendre,1078 Rue du Faubourg Longueuil,1,2,0,Nouveauté sur le marché,12078708,https://www.remax-quebec.com//fr/condo-a-vendre/1078-rue-du-faubourg-longueuil-12078708.rmx
389 900, Maison de plain-pied à vendre,27 Rue du Belvédère Val-des-Monts,3,6,0,Nouveauté sur le marché,12356667,https://www.remax-quebec.com//fr/maison-a-vendre-outaouais/27-rue-du-belvedere-val-des-monts-12356667.rmx
339 000, Maison à paliers multiples à vendre,2122 Rue de Murcie Vimont (Laval),2,3,0,Nouveauté sur le marché,19694147,https://www.remax-quebec.com//fr/maison-a-vendre-laval-rive-nord/2122-rue-de-murcie-vimont-19694147.rmx
800 par mois, Appartement à louer,5826 Rue de Charny Montréal-Nord,1,3,0,Nouveauté sur le marché,25748870,https://www.remax-quebec.com//fr/condo-a-louer-montreal/5826-rue-de-charny-montreal-nord-25748870.rmx
2 950 par mois, Appartement à louer,1275 Av. Van Horne  app.51 Outremont,2,2,0,Nouveauté sur le marché,27852270,https://www.remax-quebec.com//fr/condo-a-louer-montreal/1275-av-van-horne-outremont-27852270.rmx
174 900, Appartement à vendre,3795 Rue Everett  app.1 Villeray/Saint-Michel/Parc-Extension (Saint-Michel),1,1,0,Nouveauté sur le marché,26111821,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/3795-rue-everett-st-michel-26111821.rmx
449 000, Maison à étages à vendre,355 Rue de la Rive Sainte-Anne-de-Sorel,1,4,1,Nouveauté sur le marché,18610616,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/355-rue-de-la-rive-ste-anne-de-sorel-18610616.rmx
948 000, Maison à étages à vendre,43 Rue Molière Saint-Jean-sur-Richelieu (Saint-Luc),3,5,1,Nouveauté sur le marché,26715678,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/43-rue-moliere-st-jean-sur-richelieu-st-luc-26715678.rmx
329 000, Maison de plain-pied à vendre,4400 Ch. St-Roch Sorel-Tracy (Tracy),2,4,0,Nouveauté sur le marché,23604357,https://www.remax-quebec.com//fr/maison-a-vendre-monteregie/4400-ch-st-roch-sorel-tracy-tracy-23604357.rmx
345 000, Maison à étages à vendre,2059 Rue Galt Saint-Paul/Émard,1,3,1,Nouveauté sur le marché,28334413,https://www.remax-quebec.com//fr/maison-a-vendre-montreal/2059-rue-galt-st-paul-emard-28334413.rmx
3 800 par mois, Appartement à louer,1225 Boul. Robert-Bourassa  app.1501 Ville-Marie (Centre-Ouest),2,2,0,Nouveauté sur le marché,27425108,https://www.remax-quebec.com//fr/condo-a-louer-montreal/1225-boul-robert-bourassa-ville-marie-centre-ouest-27425108.rmx
179 000, Appartement à vendre,750 Boul. Montpellier  app.707 Saint-Laurent,1,2,0,Nouveauté sur le marché,25348767,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/750-boul-montpellier-st-laurent-25348767.rmx
199 000, Maison à étages à vendre,115 Ch. du Mont-Comi Saint-Gabriel-de-Rimouski,1,2,0,Nouveauté sur le marché,19393844,https://www.remax-quebec.com//fr/maison-a-vendre-bas-st-laurent/115-ch-du-mont-comi-st-gabriel-19393844.rmx
249 000, Appartement à vendre,12246 Rue Ranger  app.301 Ahuntsic-Cartierville (Montréal),1,2,0,Nouveauté sur le marché,19822830,https://www.remax-quebec.com//fr/condo-a-vendre-montreal/12246-rue-ranger-ahuntsic-cartierville-19822830.rmx
